2	To Downtown via North Street

Kearney Lake & Grosvenor
Kearney Lake & Wedgewood
Lacewood Terminal
Village at Bayers Road
Mumford Road & Joseph Howe
Mumford Terminal
North & Brunswick
Barrington & Duke (south bound)
Water Street Terminal

557a 601a 610a 624a - 632a 642a 646a 649a
637a 641a 650a 704a - 712a 722a 727a 730a
707a 711a 720a 734a - 742a 752a 757a 800a
737a 741a 750a 804a - 812a 822a 827a 830a
807a 811a 820a 834a - 842a 852a 857a 900a
837a 841a 850a 904a - 912a 922a 928a 931a
907a 911a 920a 935a - 943a 953a 959a 1002a
937a 941a 950a 1005a - 1013a 1023a 1029a 1032a
1007a 1011a 1020a 1035a - 1043a 1053a 1059a 1102a
1037a 1041a 1050a 1105a - 1113a 1123a 1129a 1132a
1107a 1111a 1120a 1135a - 1143a 1153a 1159a 1202p
1137a 1141a 1150a 1205p - 1213p 1223p 1229p 1232p
1207p 1211p 1220p 1235p - 1243p 1253p 1259p 102p
1237p 1241p 1250p 105p - 113p 123p 129p 132p
107p 111p 120p 135p - 143p 153p 159p 202p
137p 141p 150p 205p - 213p 223p 229p 232p
207p 211p 220p 235p - 243p 253p 259p 302p
237p 241p 250p 305p - 313p 323p 329p 332p
307p 311p 320p 335p - 343p 353p 359p 402p
337p 341p 350p 405p - 413p 423p 429p 432p
407p 411p 420p 435p - 443p 453p 459p 502p
437p 441p 450p 505p - 513p 523p 529p 532p
507p 511p 520p 535p - 543p 553p 559p 602p
537p 541p 550p 604p - 610p 618p 622p 625p
607p 611p 620p 633p - 639p 647p 651p 654p
637p 641p 650p 703p - 709p 717p 721p 724p
737p 741p 750p 803p - 809p 817p 821p 824p
837p 841p 850p 903p - 909p 917p 921p 924p
937p 941p 950p 1003p 1005p 1009p 1017p 1021p 1024p
1037p 1041p 1050p 1103p 1105p 1109p 1117p 1121p 1124p
1137p 1141p 1150p 1203x 1205x 1209x 1217x 1221x 1224x
1237x 1241x 1250x - - - - - -
